t;alpha;omega
12.9; 3.14028; -0.000201192
12.95; 3.14027; -0.000202524
12.95; 3.14027; -0.000201831
13; 3.14026; -0.000202567
13; 3.14026; -0.000202534
13.05; 3.14025; -0.000202574
13.05; 3.14025; -0.000201974
13.1; 3.14024; -0.000201503
13.1; 3.14024; -0.000201472
13.15; 3.14023; -0.000200399
13.15; 3.14023; -0.000199885
13.2; 3.14022; -0.000198382
13.2; 3.14022; -0.000198353
13.25; 3.14021; -0.000196333
13.25; 3.14021; -0.000195899
13.3; 3.1402; -0.000193523
13.3; 3.1402; -0.000193496
13.35; 3.14019; -0.000190684
13.35; 3.14019; -0.000190323
13.4; 3.14018; -0.000187221
13.4; 3.14018; -0.000187197
13.45; 3.14017; -0.000183732
13.45; 3.14017; -0.000183439
13.5; 3.14016; -0.000179746
13.5; 3.14016; -0.000179724
13.55; 3.14015; -0.000175736
13.55; 3.14015; -0.000175505
13.6; 3.14014; -0.000171343
13.6; 3.14014; -0.000171323
13.65; 3.14013; -0.000166928
13.65; 3.14013; -0.000166752
13.7; 3.14013; -0.000162233
13.7; 3.14013; -0.000162215
13.75; 3.14012; -0.000157518
13.75; 3.14012; -0.000157391
13.8; 3.14011; -0.000152613
13.8; 3.14011; -0.000152597
13.85; 3.1401; -0.000147691
13.85; 3.1401; -0.000147608
13.9; 3.1401; -0.000142661
13.9; 3.1401; -0.000142646
13.95; 3.14009; -0.000137614
13.95; 3.14009; -0.00013757
14; 3.14008; -0.00013253
14; 3.14008; -0.000132517
14.05; 3.14008; -0.000127431
14.05; 3.14008; -0.000127421
14.1; 3.14007; -0.000122357
14.1; 3.14007; -0.000122346
14.15; 3.14006; -0.00011727
14.15; 3.14006; -0.000117289
14.2; 3.14006; -0.000112259
14.2; 3.14006; -0.000112249
14.25; 3.14005; -0.000107237
14.25; 3.14005; -0.000107281
14.3; 3.14005; -0.000102336
14.3; 3.14005; -0.000102328
14.35; 3.14004; -9.74251e-05
14.35; 3.14004; -9.74902e-05
14.4; 3.14004; -9.26721e-05
14.4; 3.14004; -9.26651e-05
14.45; 3.14003; -8.7911e-05
14.45; 3.14003; -8.79935e-05
14.5; 3.14003; -8.33375e-05
14.5; 3.14003; -8.33317e-05
14.55; 3.14002; -7.87572e-05
14.55; 3.14002; -7.88537e-05
14.6; 3.14002; -7.43883e-05
14.6; 3.14002; -7.43836e-05
14.65; 3.14002; -7.00138e-05
14.65; 3.14002; -7.01215e-05
14.7; 3.14001; -6.5869e-05
14.7; 3.14001; -6.58653e-05
14.75; 3.14001; -6.17196e-05
14.75; 3.14001; -6.18356e-05
14.8; 3.14001; -5.7813e-05
14.8; 3.14001; -5.78102e-05
14.85; 3.14; -5.39028e-05
14.85; 3.14; -5.40247e-05
14.9; 3.14; -5.02441e-05
14.9; 3.14; -5.02421e-05
14.95; 3.14; -4.65827e-05
14.95; 3.14; -4.67084e-05
15; 3.14; -4.31774e-05
15; 3.14; -4.31762e-05
15.05; 3.13999; -3.97703e-05
15.05; 3.14; -3.98978e-05
15.1; 3.13999; -3.66205e-05
15.1; 3.13999; -3.66199e-05
15.15; 3.13999; -3.34696e-05
15.15; 3.13999; -3.35974e-05
15.2; 3.13999; -3.05743e-05
15.2; 3.13999; -3.05742e-05
15.25; 3.13999; -2.76784e-05
15.25; 3.13999; -2.7805e-05
15.3; 3.13999; -2.50339e-05
15.3; 3.13999; -2.50343e-05
15.35; 3.13999; -2.23894e-05
15.35; 3.13999; -2.25135e-05
15.4; 3.13998; -1.99897e-05
15.4; 3.13998; -1.99905e-05
15.45; 3.13998; -1.75905e-05
15.45; 3.13998; -1.77112e-05
15.5; 3.13998; -1.54279e-05
15.5; 3.13998; -1.54291e-05
15.55; 3.13998; -1.32662e-05
15.55; 3.13998; -1.33826e-05
15.6; 3.13998; -1.13314e-05
15.6; 3.13998; -1.13328e-05
15.65; 3.13998; -9.39783e-06
15.65; 3.13998; -9.50922e-06
15.7; 3.13998; -7.68034e-06
15.7; 3.13998; -7.68201e-06
15.75; 3.13998; -5.96435e-06
15.75; 3.13998; -6.07024e-06
15.8; 3.13998; -4.45276e-06
15.8; 3.13998; -4.4546e-06
15.85; 3.13998; -2.94289e-06
15.85; 3.13998; -3.04288e-06
15.9; 3.13998; -1.62511e-06
15.9; 3.13998; -1.62709e-06
15.95; 3.13998; -3.09231e-07
15.95; 3.13998; -4.03058e-07
16; 3.13998; 8.2724e-07
16; 3.13998; 8.25178e-07
16.05; 3.13998; 1.9617e-06
16.05; 3.13998; 1.87421e-06
16.1; 3.13998; 2.92963e-06
16.1; 3.13998; 2.92751e-06
16.15; 3.13998; 3.89546e-06
16.15; 3.13998; 3.81439e-06
16.2; 3.13998; 4.7077e-06
16.2; 3.13998; 4.70555e-06
16.25; 3.13998; 5.51778e-06
16.25; 3.13998; 5.44311e-06
16.3; 3.13998; 6.18706e-06
16.3; 3.13998; 6.18492e-06
16.35; 3.13998; 6.85417e-06
16.35; 3.13998; 6.78585e-06
16.4; 3.13998; 7.39305e-06
16.4; 3.13998; 7.39094e-06
16.45; 3.13998; 7.92977e-06
16.45; 3.13998; 7.86765e-06
16.5; 3.13998; 8.35048e-06
16.5; 3.13998; 8.34841e-06
16.55; 3.13998; 8.76905e-06
16.55; 3.13998; 8.71295e-06
16.6; 3.13998; 9.08341e-06
16.6; 3.13998; 9.0814e-06
16.65; 3.13998; 9.39568e-06
16.65; 3.13998; 9.34538e-06
16.7; 3.13998; 9.61503e-06
16.7; 3.13998; 9.6131e-06
16.75; 3.13998; 9.83236e-06
16.75; 3.13998; 9.7876e-06
16.8; 3.13999; 9.96751e-06
16.8; 3.13999; 9.96566e-06
16.85; 3.13999; 1.01007e-05
16.85; 3.13999; 1.00612e-05
16.9; 3.13999; 1.01619e-05
16.9; 3.13999; 1.01601e-05
16.95; 3.13999; 1.02212e-05
16.95; 3.13999; 1.01867e-05
17; 3.13999; 1.0218e-05
17; 3.13999; 1.02164e-05
17.05; 3.13999; 1.02131e-05
17.05; 3.13999; 1.01832e-05
