t;alpha;omega
39.55; 3.14; -1.85839e-13
39.6; 3.14; -1.53979e-13
39.6; 3.14; -1.54024e-13
39.65; 3.14; -1.24056e-13
39.65; 3.14; -1.25854e-13
39.7; 3.14; -9.75724e-14
39.7; 3.14; -9.76124e-14
39.75; 3.14; -7.11337e-14
39.75; 3.14; -7.28272e-14
39.8; 3.14; -4.79456e-14
39.8; 3.14; -4.79801e-14
39.85; 3.14; -2.47966e-14
39.85; 3.14; -2.64006e-14
39.9; 3.14; -4.68588e-15
39.9; 3.14; -4.73436e-15
39.95; 3.14; 1.53699e-14
39.95; 3.14; 1.38915e-14
40; 3.14; 3.25815e-14
40; 3.14; 3.25672e-14
40.05; 3.14; 4.98013e-14
40.05; 3.14; 4.84068e-14
40.1; 3.14; 6.43503e-14
40.1; 3.14; 6.43218e-14
40.15; 3.14; 7.88913e-14
40.15; 3.14; 7.76176e-14
40.2; 3.14; 9.09992e-14
40.2; 3.14; 9.09772e-14
40.25; 3.14; 1.0308e-13
40.25; 3.14; 1.01913e-13
40.3; 3.14; 1.12918e-13
40.3; 3.14; 1.12902e-13
40.35; 3.14; 1.22762e-13
40.35; 3.14; 1.21683e-13
40.4; 3.14; 1.30574e-13
40.4; 3.14; 1.30544e-13
40.45; 3.14; 1.38376e-13
40.45; 3.14; 1.37397e-13
40.5; 3.14; 1.44345e-13
40.5; 3.14; 1.4432e-13
40.55; 3.14; 1.50309e-13
40.55; 3.14; 1.49442e-13
40.6; 3.14; 1.54641e-13
40.6; 3.14; 1.54614e-13
40.65; 3.14; 1.58942e-13
40.65; 3.14; 1.58173e-13
40.7; 3.14; 1.61795e-13
40.7; 3.14; 1.61772e-13
40.75; 3.14; 1.64622e-13
40.75; 3.14; 1.63937e-13
40.8; 3.14; 1.66153e-13
40.8; 3.14; 1.66143e-13
40.85; 3.14; 1.67697e-13
40.85; 3.14; 1.67083e-13
40.9; 3.14; 1.68114e-13
40.9; 3.14; 1.68082e-13
40.95; 3.14; 1.68495e-13
40.95; 3.14; 1.67966e-13
41; 3.14; 1.6793e-13
41; 3.14; 1.67901e-13
41.05; 3.14; 1.67333e-13
41.05; 3.14; 1.66878e-13
41.1; 3.14; 1.65922e-13
41.1; 3.14; 1.65897e-13
41.15; 3.14; 1.64483e-13
41.15; 3.14; 1.64091e-13
41.2; 3.14; 1.62344e-13
41.2; 3.14; 1.62332e-13
41.25; 3.14; 1.60215e-13
41.25; 3.14; 1.59902e-13
41.3; 3.14; 1.5752e-13
41.3; 3.14; 1.57503e-13
41.35; 3.14; 1.54805e-13
41.35; 3.14; 1.54535e-13
41.4; 3.14; 1.5166e-13
41.4; 3.14; 1.51618e-13
41.45; 3.14; 1.48444e-13
41.45; 3.14; 1.48236e-13
41.5; 3.14; 1.44885e-13
41.5; 3.14; 1.44883e-13
41.55; 3.14; 1.41348e-13
41.55; 3.14; 1.41194e-13
41.6; 3.14; 1.37527e-13
41.6; 3.14; 1.37519e-13
41.65; 3.14; 1.33697e-13
41.65; 3.14; 1.3359e-13
41.7; 3.14; 1.29678e-13
41.7; 3.14; 1.29672e-13
41.75; 3.14; 1.25652e-13
41.75; 3.14; 1.2556e-13
41.8; 3.14; 1.21513e-13
41.8; 3.14; 1.2149e-13
41.85; 3.14; 1.17348e-13
41.85; 3.14; 1.17291e-13
41.9; 3.14; 1.13154e-13
41.9; 3.14; 1.13132e-13
41.95; 3.14; 1.08935e-13
41.95; 3.14; 1.08909e-13
42; 3.14; 1.04742e-13
42; 3.14; 1.04713e-13
42.05; 3.14; 1.00491e-13
42.05; 3.14; 1.00493e-13
42.1; 3.14; 9.63247e-14
42.1; 3.14; 9.62973e-14
42.15; 3.14; 9.21029e-14
42.15; 3.14; 9.21286e-14
42.2; 3.14; 8.80085e-14
42.2; 3.14; 8.79824e-14
42.25; 3.14; 8.38602e-14
42.25; 3.14; 8.39067e-14
42.3; 3.14; 7.98765e-14
42.3; 3.14; 7.98515e-14
42.35; 3.14; 7.58401e-14
42.35; 3.14; 7.59046e-14
42.4; 3.14; 7.1948e-14
42.4; 3.14; 7.19602e-14
42.45; 3.14; 6.80941e-14
42.45; 3.14; 6.81738e-14
42.5; 3.14; 6.43756e-14
42.5; 3.14; 6.43886e-14
42.55; 3.14; 6.06962e-14
42.55; 3.14; 6.07892e-14
42.6; 3.14; 5.71759e-14
42.6; 3.14; 5.71808e-14
42.65; 3.14; 5.36612e-14
42.65; 3.14; 5.37674e-14
42.7; 3.14; 5.03381e-14
42.7; 3.14; 5.03438e-14
42.75; 3.14; 4.70214e-14
42.75; 3.14; 4.71129e-14
42.8; 3.14; 4.39208e-14
42.8; 3.14; 4.38982e-14
42.85; 3.14; 4.07701e-14
42.85; 3.14; 4.08732e-14
42.9; 3.14; 3.78328e-14
42.9; 3.14; 3.78471e-14
42.95; 3.14; 3.49361e-14
42.95; 3.14; 3.50492e-14
43; 3.14; 3.22344e-14
43; 3.14; 3.22404e-14
43.05; 3.14; 2.95395e-14
43.05; 3.14; 2.96369e-14
43.1; 3.14; 2.70711e-14
43.1; 3.14; 2.70488e-14
43.15; 3.14; 2.45531e-14
43.15; 3.14; 2.46613e-14
43.2; 3.14; 2.22575e-14
43.2; 3.14; 2.22633e-14
43.25; 3.14; 1.99685e-14
43.25; 3.14; 2.00617e-14
43.3; 3.14; 1.78985e-14
43.3; 3.14; 1.7876e-14
43.35; 3.14; 1.57786e-14
43.35; 3.14; 1.58832e-14
43.4; 3.14; 1.38747e-14
43.4; 3.14; 1.38803e-14
43.45; 3.14; 1.19771e-14
43.45; 3.14; 1.20672e-14
43.5; 3.14; 1.0293e-14
43.5; 3.14; 1.02703e-14
43.55; 3.14; 8.55872e-15
43.55; 3.14; 8.66062e-15
43.6; 3.14; 7.03569e-15
43.6; 3.14; 7.04116e-15
43.65; 3.14; 5.51886e-15
43.65; 3.14; 5.60659e-15
43.7; 3.14; 4.15889e-15
43.7; 3.14; 4.17233e-15
43.75; 3.14; 2.83853e-15
43.75; 3.14; 2.93835e-15
43.8; 3.14; 1.68943e-15
43.8; 3.14; 1.68606e-15
43.85; 3.14; 5.12134e-16
43.85; 3.14; 5.99987e-16
43.9; 3.14; -4.9923e-16
43.9; 3.14; -4.94519e-16
43.95; 3.14; -1.50525e-15
43.95; 3.14; -1.42961e-15
44; 3.14; -2.37602e-15
44; 3.14; -2.37197e-15
44.05; 3.14; -3.24219e-15
44.05; 3.14; -3.17707e-15
44.1; 3.14; -3.99192e-15
44.1; 3.14; -3.9797e-15
44.15; 3.14; -4.70341e-15
44.15; 3.14; -4.64925e-15
44.2; 3.14; -5.27452e-15
44.2; 3.14; -5.29912e-15
44.25; 3.14; -5.8979e-15
44.25; 3.14; -5.82689e-15
44.3; 3.14; -6.3653e-15
44.3; 3.14; -6.37022e-15
44.35; 3.14; -6.86265e-15
44.35; 3.14; -6.7996e-15
44.4; 3.14; -7.23842e-15
44.4; 3.14; -7.23504e-15
44.45; 3.14; -7.61036e-15
44.45; 3.14; -7.55608e-15
44.5; 3.14; -7.88524e-15
44.5; 3.14; -7.88233e-15
44.55; 3.14; -8.15682e-15
44.55; 3.14; -8.11008e-15
44.6; 3.14; -8.34483e-15
44.6; 3.14; -8.34233e-15
44.65; 3.14; -8.53e-15
44.65; 3.14; -8.48976e-15
44.7; 3.14; -8.64323e-15
44.7; 3.14; -8.64107e-15
44.75; 3.14; -8.754e-15
44.75; 3.14; -8.71936e-15
44.8; 3.14; -8.80283e-15
44.8; 3.14; -8.80097e-15
44.85; 3.14; -8.84955e-15
44.85; 3.14; -8.81972e-15
44.9; 3.14; -8.84294e-15
44.9; 3.14; -8.84134e-15
44.95; 3.14; -8.83451e-15
44.95; 3.14; -8.80883e-15
45; 3.14; -8.78016e-15
45; 3.14; -8.77879e-15
45.05; 3.14; -8.72425e-15
45.05; 3.14; -8.70214e-15
45.1; 3.14; -8.6288e-15
45.1; 3.14; -8.62762e-15
45.15; 3.14; -8.53201e-15
45.15; 3.14; -8.51297e-15
45.2; 3.14; -8.40117e-15
45.2; 3.14; -8.40015e-15
45.25; 3.14; -8.26918e-15
45.25; 3.14; -8.25279e-15
45.3; 3.14; -8.10788e-15
45.3; 3.14; -8.107e-15
45.35; 3.14; -7.94558e-15
45.35; 3.14; -7.93147e-15
45.4; 3.14; -7.75805e-15
45.4; 3.14; -7.75729e-15
45.45; 3.14; -7.56965e-15
45.45; 3.14; -7.5575e-15
45.5; 3.14; -7.35953e-15
45.5; 3.14; -7.35888e-15
45.55; 3.14; -7.14868e-15
45.55; 3.14; -7.13821e-15
45.6; 3.14; -6.91911e-15
45.6; 3.14; -6.91855e-15
45.65; 3.14; -6.68891e-15
45.65; 3.14; -6.6799e-15
45.7; 3.14; -6.4426e-15
45.7; 3.14; -6.44212e-15
45.75; 3.14; -6.19575e-15
45.75; 3.14; -6.18799e-15
45.8; 3.14; -5.93502e-15
45.8; 3.14; -5.94334e-15
45.85; 3.14; -5.7081e-15
45.85; 3.14; -5.69951e-15
45.9; 3.14; -5.45697e-15
45.9; 3.14; -5.46524e-15
45.95; 3.14; -5.23959e-15
45.95; 3.14; -5.23028e-15
46; 3.14; -4.99672e-15
46; 3.14; -5.00495e-15
46.05; 3.14; -4.78755e-15
46.05; 3.14; -4.77763e-15
46.1; 3.14; -4.55179e-15
46.1; 3.14; -4.55999e-15
46.15; 3.14; -4.3497e-15
46.15; 3.14; -4.33924e-15
46.2; 3.14; -4.17245e-15
46.2; 3.14; -4.14439e-15
46.25; 3.14; -3.939e-15
46.25; 3.14; -3.95437e-15
46.3; 3.14; -3.76206e-15
46.3; 3.14; -3.75415e-15
46.35; 3.14; -3.55178e-15
46.35; 3.14; -3.56693e-15
46.4; 3.14; -3.37743e-15
46.4; 3.14; -3.36951e-15
46.45; 3.14; -3.16973e-15
46.45; 3.14; -3.18469e-15
46.5; 3.14; -2.99762e-15
46.5; 3.14; -2.98969e-15
46.55; 3.14; -2.79214e-15
46.55; 3.14; -2.80693e-15
46.6; 3.14; -2.62195e-15
46.6; 3.14; -2.61401e-15
46.65; 3.14; -2.41838e-15
46.65; 3.14; -2.43302e-15
46.7; 3.14; -2.24985e-15
46.7; 3.14; -2.2419e-15
46.75; 3.14; -2.04793e-15
46.75; 3.14; -2.06244e-15
46.8; 3.14; -1.88082e-15
46.8; 3.14; -1.88159e-15
46.85; 3.14; -1.71459e-15
46.85; 3.14; -1.72708e-15
46.9; 3.14; -1.5707e-15
46.9; 3.14; -1.57137e-15
46.95; 3.14; -1.42758e-15
46.95; 3.14; -1.43834e-15
47; 3.14; -1.3037e-15
47; 3.14; -1.30428e-15
47.05; 3.14; -1.18048e-15
47.05; 3.14; -1.18974e-15
47.1; 3.14; -1.07382e-15
47.1; 3.14; -1.07431e-15
47.15; 3.14; -9.67721e-16
47.15; 3.14; -9.75698e-16
47.2; 3.14; -8.75889e-16
47.2; 3.14; -8.76317e-16
47.25; 3.14; -7.84542e-16
47.25; 3.14; -7.9141e-16
47.3; 3.14; -7.05475e-16
47.3; 3.14; -7.05843e-16
47.35; 3.14; -6.26826e-16
47.35; 3.14; -6.32739e-16
47.4; 3.14; -5.58751e-16
47.4; 3.14; -5.59068e-16
47.45; 3.14; -4.91035e-16
47.45; 3.14; -4.96126e-16
47.5; 3.14; -4.32423e-16
47.5; 3.14; -4.32696e-16
47.55; 3.14; -3.7412e-16
47.55; 3.14; -3.78504e-16
47.6; 3.14; -3.23656e-16
47.6; 3.14; -3.23891e-16
47.65; 3.14; -2.73458e-16
47.65; 3.14; -2.77232e-16
47.7; 3.14; -2.30009e-16
47.7; 3.14; -2.30211e-16
47.75; 3.14; -1.86789e-16
47.75; 3.14; -1.90039e-16
47.8; 3.14; -1.4938e-16
47.8; 3.14; -1.49554e-16
47.85; 3.14; -1.12169e-16
47.85; 3.14; -1.14966e-16
47.9; 3.14; -7.99597e-17
47.9; 3.14; -8.01097e-17
47.95; 3.14; -4.79209e-17
47.95; 3.14; -5.03299e-17
48; 3.14; -2.01895e-17
48; 3.14; -2.03187e-17
48.05; 3.14; 7.39545e-18
48.05; 3.14; 5.32139e-18
48.1; 3.14; 3.12719e-17
48.1; 3.14; 3.11607e-17
48.15; 3.14; 5.50222e-17
48.15; 3.14; 5.32364e-17
48.2; 3.14; 7.55795e-17
48.2; 3.14; 7.54838e-17
48.25; 3.14; 9.60282e-17
48.25; 3.14; 9.44907e-17
48.3; 3.14; 1.13728e-16
48.3; 3.14; 1.13645e-16
48.35; 3.14; 1.31334e-16
48.35; 3.14; 1.3001e-16
48.4; 3.14; 1.46573e-16
48.4; 3.14; 1.46502e-16
48.45; 3.14; 1.61732e-16
48.45; 3.14; 1.60592e-16
48.5; 3.14; 1.74852e-16
48.5; 3.14; 1.74791e-16
48.55; 3.14; 1.87904e-16
48.55; 3.14; 1.86923e-16
48.6; 3.14; 1.99201e-16
48.6; 3.14; 1.99148e-16
48.65; 3.14; 2.10438e-16
48.65; 3.14; 2.09593e-16
48.7; 3.14; 2.20164e-16
48.7; 3.14; 2.20119e-16
48.75; 3.14; 2.29839e-16
48.75; 3.14; 2.29112e-16
48.8; 3.14; 2.38213e-16
48.8; 3.14; 2.38174e-16
48.85; 3.14; 2.46544e-16
48.85; 3.14; 2.45917e-16
48.9; 3.14; 2.53754e-16
48.9; 3.14; 2.5372e-16
48.95; 3.14; 2.60926e-16
48.95; 3.14; 2.60387e-16
49; 3.14; 2.67134e-16
49; 3.14; 2.67105e-16
49.05; 3.14; 2.73309e-16
49.05; 3.14; 2.72844e-16
49.1; 3.14; 2.78654e-16
49.1; 3.14; 2.78629e-16
49.15; 3.14; 2.8397e-16
49.15; 3.14; 2.83571e-16
49.2; 3.14; 2.88572e-16
49.2; 3.14; 2.88551e-16
49.25; 3.14; 2.9315e-16
49.25; 3.14; 2.92806e-16
49.3; 3.14; 2.97112e-16
49.3; 3.14; 2.97094e-16
49.35; 3.14; 3.01053e-16
49.35; 3.14; 3.00757e-16
49.4; 3.14; 3.04465e-16
49.4; 3.14; 3.04449e-16
49.45; 3.14; 3.07858e-16
49.45; 3.14; 3.07603e-16
49.5; 3.14; 3.10795e-16
49.5; 3.14; 3.10781e-16
49.55; 3.14; 3.13717e-16
49.55; 3.14; 3.13497e-16
49.6; 3.14; 3.16246e-16
49.6; 3.14; 3.16234e-16
49.65; 3.14; 3.18761e-16
49.65; 3.14; 3.18572e-16
49.7; 3.14; 3.20938e-16
49.7; 3.14; 3.20928e-16
49.75; 3.14; 3.23104e-16
49.75; 3.14; 3.22941e-16
49.8; 3.14; 3.24979e-16
49.8; 3.14; 3.2497e-16
49.85; 3.14; 3.26844e-16
49.85; 3.14; 3.26703e-16
49.9; 3.14; 3.28458e-16
49.9; 3.14; 3.2845e-16
49.95; 3.14; 3.30063e-16
49.95; 3.14; 3.29943e-16
50; 3.14; 3.31453e-16
50; 3.14; 3.31446e-16
50.05; 3.14; 3.32835e-16
50.05; 3.14; 3.32731e-16
50.1; 3.14; 3.34032e-16
50.1; 3.14; 3.34026e-16
50.15; 3.14; 3.35222e-16
50.15; 3.14; 3.35132e-16
50.2; 3.14; 3.36252e-16
50.2; 3.14; 3.36247e-16
50.25; 3.14; 3.37277e-16
50.25; 3.14; 3.372e-16
50.3; 3.14; 3.38164e-16
50.3; 3.14; 3.3816e-16
50.35; 3.14; 3.39046e-16
50.35; 3.14; 3.3898e-16
50.4; 3.14; 3.3981e-16
50.4; 3.14; 3.39806e-16
50.45; 3.14; 3.40569e-16
50.45; 3.14; 3.40512e-16
50.5; 3.14; 3.41227e-16
50.5; 3.14; 3.41224e-16
50.55; 3.14; 3.41881e-16
50.55; 3.14; 3.41832e-16
50.6; 3.14; 3.42447e-16
50.6; 3.14; 3.42444e-16
50.65; 3.14; 3.4301e-16
50.65; 3.14; 3.42968e-16
50.7; 3.14; 3.43497e-16
50.7; 3.14; 3.43495e-16
50.75; 3.14; 3.43982e-16
50.75; 3.14; 3.43946e-16
50.8; 3.14; 3.44402e-16
50.8; 3.14; 3.444e-16
50.85; 3.14; 3.44819e-16
50.85; 3.14; 3.44788e-16
50.9; 3.14; 3.45181e-16
50.9; 3.14; 3.45179e-16
50.95; 3.14; 3.4554e-16
50.95; 3.14; 3.45513e-16
51; 3.14; 3.45851e-16
51; 3.14; 3.4585e-16
51.05; 3.14; 3.46161e-16
51.05; 3.14; 3.46137e-16
51.1; 3.14; 3.46428e-16
51.1; 3.14; 3.46427e-16
51.15; 3.14; 3.46695e-16
51.15; 3.14; 3.46675e-16
51.2; 3.14; 3.46926e-16
51.2; 3.14; 3.46924e-16
51.25; 3.14; 3.47155e-16
51.25; 3.14; 3.47138e-16
51.3; 3.14; 3.47353e-16
51.3; 3.14; 3.47353e-16
51.35; 3.14; 3.47551e-16
51.35; 3.14; 3.47536e-16
51.4; 3.14; 3.47722e-16
51.4; 3.14; 3.47721e-16
51.45; 3.14; 3.47892e-16
51.45; 3.14; 3.47879e-16
51.5; 3.14; 3.48039e-16
51.5; 3.14; 3.48038e-16
51.55; 3.14; 3.48186e-16
51.55; 3.14; 3.48175e-16
51.6; 3.14; 3.48312e-16
51.6; 3.14; 3.48312e-16
51.65; 3.14; 3.48438e-16
51.65; 3.14; 3.48429e-16
51.7; 3.14; 3.48547e-16
51.7; 3.14; 3.48547e-16
51.75; 3.14; 3.48656e-16
51.75; 3.14; 3.48648e-16
51.8; 3.14; 3.4875e-16
51.8; 3.14; 3.48749e-16
51.85; 3.14; 3.48843e-16
51.85; 3.14; 3.48836e-16
51.9; 3.14; 3.48924e-16
51.9; 3.14; 3.48924e-16
51.95; 3.14; 3.49005e-16
51.95; 3.14; 3.48999e-16
52; 3.14; 3.49074e-16
52; 3.14; 3.49074e-16
52.05; 3.14; 3.49144e-16
52.05; 3.14; 3.49138e-16
52.1; 3.14; 3.49204e-16
52.1; 3.14; 3.49203e-16
52.15; 3.14; 3.49263e-16
52.15; 3.14; 3.49259e-16
52.2; 3.14; 3.49315e-16
52.2; 3.14; 3.49315e-16
52.25; 3.14; 3.49366e-16
52.25; 3.14; 3.49362e-16
52.3; 3.14; 3.49411e-16
52.3; 3.14; 3.4941e-16
52.35; 3.14; 3.49455e-16
52.35; 3.14; 3.49452e-16
52.4; 3.14; 3.49493e-16
52.4; 3.14; 3.49493e-16
52.45; 3.14; 3.49531e-16
52.45; 3.14; 3.49528e-16
52.5; 3.14; 3.49564e-16
52.5; 3.14; 3.49564e-16
52.55; 3.14; 3.49597e-16
52.55; 3.14; 3.49594e-16
52.6; 3.14; 3.49625e-16
52.6; 3.14; 3.49625e-16
52.65; 3.14; 3.49654e-16
52.65; 3.14; 3.49651e-16
52.7; 3.14; 3.49678e-16
52.7; 3.14; 3.49678e-16
52.75; 3.14; 3.49702e-16
52.75; 3.14; 3.497e-16
52.8; 3.14; 3.49723e-16
52.8; 3.14; 3.49723e-16
52.85; 3.14; 3.49744e-16
52.85; 3.14; 3.49743e-16
52.9; 3.14; 3.49762e-16
52.9; 3.14; 3.49762e-16
52.95; 3.14; 3.4978e-16
52.95; 3.14; 3.49779e-16
53; 3.14; 3.49796e-16
53; 3.14; 3.49796e-16
53.05; 3.14; 3.49811e-16
53.05; 3.14; 3.4981e-16
53.1; 3.14; 3.49825e-16
53.1; 3.14; 3.49825e-16
53.15; 3.14; 3.49838e-16
53.15; 3.14; 3.49837e-16
53.2; 3.14; 3.4985e-16
53.2; 3.14; 3.4985e-16
53.25; 3.14; 3.49861e-16
53.25; 3.14; 3.4986e-16
53.3; 3.14; 3.49871e-16
53.3; 3.14; 3.49871e-16
53.35; 3.14; 3.49881e-16
53.35; 3.14; 3.4988e-16
53.4; 3.14; 3.4989e-16
53.4; 3.14; 3.4989e-16
53.45; 3.14; 3.49898e-16
53.45; 3.14; 3.49898e-16
53.5; 3.14; 3.49906e-16
53.5; 3.14; 3.49905e-16
53.55; 3.14; 3.49913e-16
53.55; 3.14; 3.49912e-16
53.6; 3.14; 3.49919e-16
53.6; 3.14; 3.49919e-16
53.65; 3.14; 3.49926e-16
53.65; 3.14; 3.49925e-16
53.7; 3.14; 3.49931e-16
53.7; 3.14; 3.49931e-16
53.75; 3.14; 3.49936e-16
53.75; 3.14; 3.49936e-16
53.8; 3.14; 3.49941e-16
53.8; 3.14; 3.49941e-16
53.85; 3.14; 3.49946e-16
53.85; 3.14; 3.49945e-16
53.9; 3.14; 3.4995e-16
53.9; 3.14; 3.4995e-16
53.95; 3.14; 3.49954e-16
53.95; 3.14; 3.49954e-16
54; 3.14; 3.49957e-16
54; 3.14; 3.49957e-16
54.05; 3.14; 3.49961e-16
54.05; 3.14; 3.49961e-16
54.1; 3.14; 3.49964e-16
54.1; 3.14; 3.49964e-16
54.15; 3.14; 3.49967e-16
54.15; 3.14; 3.49967e-16
54.2; 3.14; 3.49969e-16
54.2; 3.14; 3.49969e-16
54.25; 3.14; 3.49972e-16
54.25; 3.14; 3.49972e-16
54.3; 3.14; 3.49974e-16
54.3; 3.14; 3.49974e-16
54.35; 3.14; 3.49976e-16
54.35; 3.14; 3.49976e-16
54.4; 3.14; 3.49978e-16
54.4; 3.14; 3.49978e-16
54.45; 3.14; 3.4998e-16
54.45; 3.14; 3.4998e-16
54.5; 3.14; 3.49982e-16
54.5; 3.14; 3.49982e-16
54.55; 3.14; 3.49984e-16
54.55; 3.14; 3.49983e-16
54.6; 3.14; 3.49985e-16
54.6; 3.14; 3.49985e-16
54.65; 3.14; 3.49986e-16
54.65; 3.14; 3.49986e-16
54.7; 3.14; 3.49988e-16
54.7; 3.14; 3.49988e-16
54.75; 3.14; 3.49989e-16
54.75; 3.14; 3.49989e-16
54.8; 3.14; 3.4999e-16
54.8; 3.14; 3.4999e-16
54.85; 3.14; 3.49991e-16
54.85; 3.14; 3.49991e-16
54.9; 3.14; 3.49992e-16
54.9; 3.14; 3.49992e-16
54.95; 3.14; 3.49993e-16
54.95; 3.14; 3.49993e-16
55; 3.14; 3.49994e-16
55; 3.14; 3.49994e-16
55.05; 3.14; 3.49994e-16
55.05; 3.14; 3.49994e-16
55.1; 3.14; 3.49995e-16
55.1; 3.14; 3.49995e-16
55.15; 3.14; 3.49996e-16
55.15; 3.14; 3.49996e-16
55.2; 3.14; 3.49996e-16
55.2; 3.14; 3.49996e-16
55.25; 3.14; 3.49997e-16
55.25; 3.14; 3.49997e-16
55.3; 3.14; 3.49997e-16
55.3; 3.14; 3.49997e-16
55.35; 3.14; 3.49998e-16
55.35; 3.14; 3.49998e-16
55.4; 3.14; 3.49998e-16
55.4; 3.14; 3.49998e-16
55.45; 3.14; 3.49999e-16
55.45; 3.14; 3.49999e-16
55.5; 3.14; 3.49999e-16
55.5; 3.14; 3.49999e-16
55.55; 3.14; 3.49999e-16
55.55; 3.14; 3.49999e-16
55.6; 3.14; 3.5e-16
55.6; 3.14; 3.5e-16
55.65; 3.14; 3.5e-16
55.65; 3.14; 3.5e-16
55.7; 3.14; 3.5e-16
55.7; 3.14; 3.5e-16
55.75; 3.14; 3.50001e-16
55.75; 3.14; 3.50001e-16
55.8; 3.14; 3.50001e-16
55.8; 3.14; 3.50001e-16
55.85; 3.14; 3.50001e-16
55.85; 3.14; 3.50001e-16
55.9; 3.14; 3.50001e-16
55.9; 3.14; 3.50001e-16
55.95; 3.14; 3.50001e-16
55.95; 3.14; 3.50001e-16
56; 3.14; 3.50002e-16
56; 3.14; 3.50002e-16
56.05; 3.14; 3.50002e-16
56.05; 3.14; 3.50002e-16
56.1; 3.14; 3.50002e-16
56.1; 3.14; 3.50002e-16
56.15; 3.14; 3.50002e-16
56.15; 3.14; 3.50002e-16
56.2; 3.14; 3.50002e-16
56.2; 3.14; 3.50002e-16
56.25; 3.14; 3.50002e-16
56.25; 3.14; 3.50002e-16
56.3; 3.14; 3.50002e-16
56.3; 3.14; 3.50002e-16
56.35; 3.14; 3.50003e-16
56.35; 3.14; 3.50003e-16
56.4; 3.14; 3.50003e-16
56.4; 3.14; 3.50003e-16
56.45; 3.14; 3.50003e-16
56.45; 3.14; 3.50003e-16
56.5; 3.14; 3.50003e-16
56.5; 3.14; 3.50003e-16
56.55; 3.14; 3.50003e-16
56.55; 3.14; 3.50003e-16
56.6; 3.14; 3.50003e-16
56.6; 3.14; 3.50003e-16
56.65; 3.14; 3.50003e-16
56.65; 3.14; 3.50003e-16
56.7; 3.14; 3.50003e-16
56.7; 3.14; 3.50003e-16
56.75; 3.14; 3.50003e-16
56.75; 3.14; 3.50003e-16
56.8; 3.14; 3.50003e-16
56.8; 3.14; 3.50003e-16
56.85; 3.14; 3.50003e-16
56.85; 3.14; 3.50003e-16
56.9; 3.14; 3.50003e-16
56.9; 3.14; 3.50003e-16
56.95; 3.14; 3.50003e-16
56.95; 3.14; 3.50003e-16
57; 3.14; 3.50003e-16
57; 3.14; 3.50003e-16
57.05; 3.14; 3.50004e-16
57.05; 3.14; 3.50004e-16
57.1; 3.14; 3.50004e-16
57.1; 3.14; 3.50004e-16
57.15; 3.14; 3.50004e-16
57.15; 3.14; 3.50004e-16
57.2; 3.14; 3.50004e-16
57.2; 3.14; 3.50004e-16
57.25; 3.14; 3.50004e-16
57.25; 3.14; 3.50004e-16
57.3; 3.14; 3.50004e-16
57.3; 3.14; 3.50004e-16
57.35; 3.14; 3.50004e-16
57.35; 3.14; 3.50004e-16
57.4; 3.14; 3.50004e-16
57.4; 3.14; 3.50004e-16
57.45; 3.14; 3.50004e-16
57.45; 3.14; 3.50004e-16
57.5; 3.14; 3.50004e-16
57.5; 3.14; 3.50004e-16
57.55; 3.14; 3.50004e-16
57.55; 3.14; 3.50004e-16
57.6; 3.14; 3.50004e-16
57.6; 3.14; 3.50004e-16
57.65; 3.14; 3.50004e-16
57.65; 3.14; 3.50004e-16
57.7; 3.14; 3.50004e-16
57.7; 3.14; 3.50004e-16
57.75; 3.14; 3.50004e-16
57.75; 3.14; 3.50004e-16
57.8; 3.14; 3.50004e-16
57.8; 3.14; 3.50004e-16
57.85; 3.14; 3.50004e-16
57.85; 3.14; 3.50004e-16
57.9; 3.14; 3.50004e-16
57.9; 3.14; 3.50004e-16
57.95; 3.14; 3.50004e-16
57.95; 3.14; 3.50004e-16
58; 3.14; 3.50004e-16
58; 3.14; 3.50004e-16
58.05; 3.14; 3.50004e-16
58.05; 3.14; 3.50004e-16
58.1; 3.14; 3.50004e-16
58.1; 3.14; 3.50004e-16
58.15; 3.14; 3.50004e-16
58.15; 3.14; 3.50004e-16
58.2; 3.14; 3.50004e-16
58.2; 3.14; 3.50004e-16
58.25; 3.14; 3.50004e-16
58.25; 3.14; 3.50004e-16
58.3; 3.14; 3.50004e-16
58.3; 3.14; 3.50004e-16
58.35; 3.14; 3.50004e-16
58.35; 3.14; 3.50004e-16
58.4; 3.14; 3.50004e-16
58.4; 3.14; 3.50004e-16
58.45; 3.14; 3.50004e-16
58.45; 3.14; 3.50004e-16
58.5; 3.14; 3.50004e-16
58.5; 3.14; 3.50004e-16
58.55; 3.14; 3.50004e-16
58.55; 3.14; 3.50004e-16
58.6; 3.14; 3.50004e-16
58.6; 3.14; 3.50004e-16
58.65; 3.14; 3.50004e-16
58.65; 3.14; 3.50004e-16
58.7; 3.14; 3.50004e-16
58.7; 3.14; 3.50004e-16
58.75; 3.14; 3.50004e-16
58.75; 3.14; 3.50004e-16
58.8; 3.14; 3.50004e-16
58.8; 3.14; 3.50004e-16
58.85; 3.14; 3.50004e-16
58.85; 3.14; 3.50004e-16
58.9; 3.14; 3.50004e-16
58.9; 3.14; 3.50004e-16
58.95; 3.14; 3.50004e-16
58.95; 3.14; 3.50004e-16
59; 3.14; 3.50004e-16
59; 3.14; 3.50004e-16
59.05; 3.14; 3.50004e-16
59.05; 3.14; 3.50004e-16
59.1; 3.14; 3.50004e-16
