x00;x01;x11;x12;y;f_calls
-0,243992; -0,846992; -0,00024161; -0,775117;0,619844;84
0,734122; -0,98296; 0,774747; -0,775147;1,23968;94
0,233686; 0,14126; -0,000689266; 0,000634737;2,7957e-05;91
0,878517; -0,774624; 0,775392; -0,774624;1,23969;59
0,952852; -0,525515; 0,774727; -0,773952;1,23969;95
-0,338209; -0,152466; -0,000708585; 0,000658666;2,98024e-05;73
-0,22468; 0,343331; 0,000319849; -0,000418869;8,84439e-06;85
0,241611; -0,265042; -0,000576947; 0,000583018;2,14229e-05;101
0,089428; 0,000910294; 0,000365486; -0,000652206;1,77984e-05;68
0,962873; 0,451585; 0,775373; 0,775022;1,23969;84
0,456026; 0,825789; 0,774776; 0,774227;1,23968;94
-0,578112; -0,234791; -0,774987; -0,00041631;0,619845;94
-0,709687; 0,871993; -0,775312; 0,775118;1,23969;77
0,703177; 0,89197; 0,775052; 0,774782;1,23968;96
0,206177; -0,537618; -7,31274e-05; -0,775118;0,619842;85
0,252696; -0,368734; -0,000429284; 1,6134e-05;5,87638e-06;103
-0,648978; 0,628891; -0,773978; 0,774203;1,2397;87
0,324171; -0,105013; 0,00073327; -0,000325056;2,04857e-05;74
0,348315; -0,582719; -0,000122685; -0,774906;0,619839;93
-0,655044; -0,260155; -0,775356; -0,000780252;0,619869;104
-0,65434; 0,0727537; -0,774652; -0,000683847;0,619852;85
0,186324; 0,511071; 0,774214; -0,000647752;0,619858;113
-0,203206; 0,82887; -0,775472; 0,774183;1,2397;157
0,417554; 0,726593; 0,774976; 0,775421;1,23969;115
-0,120471; 0,661165; 0,000622658; -0,00094394;4,07177e-05;114
0,637989; -0,907297; -0,000682926; 0,000905775;4,09753e-05;128
-0,907464; 0,364706; 0,000738766; 0,774862;0,619855;118
-0,711802; 0,44276; -0,774302; 0,774791;1,23968;106
-0,289442; 0,39727; 0,775012; 0,774224;1,23968;100
-0,595856; -0,13767; -0,000153178; -0,00095133;2,95654e-05;103
0,754944; -0,0898413; 0,774476; 2,46542e-06;0,619839;94
0,0703401; 0,222258; 2,7634e-05; 0,774992;0,61984;103
-0,857373; 0,463766; -0,775341; 0,774313;1,23969;126
0,457369; 0,0537371; 0,773775; -0,000950443;0,619894;105
0,0384703; -0,711665; -0,000592236; -0,774165;0,619858;66
-0,512838; 0,43147; 0,000833459; 0,77522;0,619867;115
0,764088; -0,0201401; 0,773854; -0,000608832;0,619872;84
-0,624379; 0,346825; 0,000620894; 0,774559;0,61985;94
-0,906391; -0,762233; -0,000140778; -0,773952;0,619856;111
0,0880825; -0,759388; 0,000191854; -0,775013;0,619841;107
0,379626; -0,595197; 0,774157; 0,000505808;0,619855;103
