punkt startowy;p[0] z ekspansji;p[1] z ekspansji;f_calls dla ekspansji;alpha;wynik opt X z fiba;wynik opt Y z fiba;f_calls dla fiba
-58.9016;9.81787;117.02;15;1.6;62.7482;-0.921148;70
-46.9072;-20.0637;21.8122;13;1.6;-2.03967e-07;-6.14878e-18;66
-34.7302;-17.9529;8.21951;12;1.6;-2.3991e-07;-5.8297e-18;64
-51.0219;-24.1783;17.6976;13;1.6;-1.35357e-06;2.96625e-17;66
-40.1043;-13.2607;28.6152;13;1.6;-7.98712e-07;5.778e-18;66
19.7991;-7.04444;9.31335;13;1.6;7.71718e-07;4.93015e-18;62
-7.34286;-3.24686;3.1429;9;1.6;1.19401e-06;2.15323e-17;58
-92.5938;-23.8743;83.3281;15;1.6;8.90932e-07;8.89435e-18;70
-20.0188;-9.53307;6.82472;11;1.6;8.35771e-07;6.98944e-18;62
-63.5316;-20.582;46.4195;14;1.6;1.40103e-06;3.22771e-17;68
38.2347;-30.4847;11.3912;15;1.6;6.14757e-07;5.77686e-19;66
49.4502;56.0038;66.2274;10;1.6;62.7482;-0.921148;60
-86.6229;-43.6733;23.3282;14;1.6;-1.07429e-07;-6.75002e-18;68
42.3436;-26.3759;15.5;15;1.6;-2.13045e-06;8.37955e-17;66
-57.2665;11.453;118.655;15;1.6;62.7482;-0.921148;70
-57.3441;11.3754;118.578;15;1.6;62.7482;-0.921148;70
48.3122;58.798;75.1557;11;1.6;62.7482;-0.921148;62
72.3426;55.5654;65.789;12;1.6;62.7482;-0.921148;60
28.3494;-14.6003;11.5722;14;1.6;5.73138e-07;-4.11094e-19;64
19.7446;-7.09895;9.25883;13;1.6;2.23555e-06;9.29729e-17;62
-8.67086;-2.11726;8.10636;10;1.6;-1.82075e-06;5.93221e-17;60
18.311;-8.53253;7.82525;13;1.6;1.51408e-06;3.88681e-17;62
90.4786;47.5289;73.7014;14;1.6;62.7482;-0.921148;64
-27.0837;-10.3065;15.866;12;1.6;4.3816e-07;-3.14115e-18;64
-87.6827;-44.733;22.2685;14;1.6;5.70953e-08;-6.91564e-18;68
-3.62713;-1.06713;2.92647;8;1.6;-2.37787e-06;1.06105e-16;56
-51.2554;-24.4119;17.464;13;1.6;-1.60109e-06;4.42888e-17;66
8.66571;-8.1115;2.11211;12;1.6;-2.19084e-07;-6.02088e-18;60
70.5298;60.044;66.4338;11;1.6;62.7482;-0.921148;58
38.7404;-29.9791;11.8969;15;1.6;6.98635e-07;2.78098e-18;66
-82.3453;-39.3956;27.6058;14;1.6;-1.37903e-06;3.10535e-17;68
-47.6116;-20.768;21.1079;13;1.6;1.97857e-07;-6.19789e-18;66
-2.34918;-0.749176;1.74682;7;1.6;-1.03106e-06;1.42809e-17;54
40.078;-28.6414;13.2345;15;1.6;1.87112e-06;6.30413e-17;66
58.6106;61.1706;65.1642;8;1.6;62.7482;-0.921148;56
-83.2005;-40.2508;26.7507;14;1.6;-8.79698e-07;8.49655e-18;68
98.1934;29.4739;71.3499;15;1.6;62.7482;-0.921148;66
93.8171;50.8675;77.0399;14;1.6;62.7482;-0.921148;64
44.2351;-24.4844;17.3916;15;1.6;-1.44994e-06;3.50655e-17;66
-16.7839;-6.2981;10.0597;11;1.6;1.04268e-06;1.47629e-17;62
40.6105;-28.109;13.767;15;1.6;-8.75192e-07;8.33839e-18;66
82.1413;55.2978;71.6555;13;1.6;62.7482;-0.921148;62
38;-30.7194;11.1565;15;1.6;1.15039e-06;1.9487e-17;66
55.7885;59.8845;66.2743;9;1.6;62.7482;-0.921148;58
-58.993;9.72647;116.929;15;1.6;62.7482;-0.921148;70
5.97923;-4.50653;1.88323;11;1.6;2.77652e-07;-5.43902e-18;58
-73.1924;-30.2427;36.7587;14;1.6;-2.99734e-07;-5.18402e-18;68
18.0892;-8.75438;7.60341;13;1.6;6.71511e-07;2.03771e-18;62
-60.7339;-17.7843;49.2172;14;1.6;5.55803e-07;-8.0249e-19;68
-4.52331;-1.96331;2.03029;8;1.6;2.29637e-06;9.84858e-17;56
-11.547;-4.99339;5.23022;10;1.6;3.47932e-07;-4.5597e-18;60
42.7504;-25.9691;15.9069;15;1.6;-9.89484e-07;1.26007e-17;66
37.0569;-31.6626;10.2133;15;1.6;-3.40948e-07;-4.65592e-18;66
-38.3167;-11.4731;30.4028;13;1.6;-1.73058e-06;5.29171e-17;66
7.16076;-3.325;3.06476;11;1.6;1.09229e-06;1.6881e-17;58
51.6225;58.1761;68.3997;10;1.6;62.7482;-0.921148;60
-71.6945;-28.7448;38.2567;14;1.6;-2.70836e-07;-5.51379e-18;68
-44.2063;-17.3627;24.5132;13;1.6;8.85584e-07;8.70435e-18;66
-92.3587;-23.6392;83.5632;15;1.6;1.63278e-06;4.63386e-17;70
53.8673;60.4209;70.6445;10;1.6;62.7482;-0.921148;60
-60.4641;-17.5144;49.4871;14;1.6;1.95401e-06;6.9382e-17;68
9.42893;-7.34829;2.87533;12;1.6;1.96385e-06;7.01535e-17;60
-1.04032;-1.04032;0.559681;5;1.6;-2.17076e-06;8.72628e-17;52
81.4206;54.577;70.9348;13;1.6;62.7482;-0.921148;62
-20.737;-10.2512;6.10655;11;1.6;6.99356e-07;2.80114e-18;62
-37.9551;-11.1116;30.7643;13;1.6;-2.70752e-07;-5.5147e-18;66
77.5836;50.7401;67.0979;13;1.6;62.7482;-0.921148;62
-40.1563;-13.3128;28.5631;13;1.6;8.38054e-07;7.06584e-18;66
-45.0792;-18.2357;23.6403;13;1.6;-8.07502e-07;6.06037e-18;66
-59.6044;9.11506;116.317;15;1.6;62.7482;-0.921148;70
77.8766;51.033;67.3908;13;1.6;62.7482;-0.921148;62
-18.4637;-7.97793;8.37985;11;1.6;1.31468e-06;2.75868e-17;62
-98.1289;-29.4094;77.793;15;1.6;-7.29182e-07;3.6533e-18;70
