punkt startowy;p[0] z ekspansji;p[1] z ekspansji;f_calls;alpha;wynik opt X z fiba;wynik opt Y z fiba
-4.39647;-2.29647;4.86453;7;2.1;4.86453;40
58.0241;60.1241;67.2851;7;2.1;67.2851;40
-75.765;-34.924;104.344;11;2.1;104.344;40
-27.4548;-18.1938;13.3862;9;2.1;13.3862;40
47.928;57.189;88.769;9;2.1;88.769;40
71.2061;51.758;66.7961;10;2.1;66.7961;40
-82.9181;-42.0771;97.1907;11;2.1;97.1907;40
-2.11818;-1.11818;2.29182;6;2.1;7.13808;40
-80.157;-39.316;99.9518;11;2.1;99.9518;40
77.3287;36.4877;68.0677;11;2.1;68.0677;40
67.6131;58.3521;65.5131;9;2.1;65.5131;40
93.1468;7.38069;73.6987;12;2.1;73.6987;40
3.13639;-1.27361;2.13639;8;2.1;5.25587;40
67.6088;58.3478;65.5088;9;2.1;65.5088;40
35.0495;-50.7166;15.6014;12;2.1;15.6014;40
19.6281;-21.2129;10.3671;11;2.1;10.3671;40
11.5308;-7.91732;7.12078;10;2.1;-0.261196;40
-2.66433;-1.66433;1.74567;6;2.1;4.86515;40
36.7505;-49.0157;17.3024;12;2.1;17.3024;40
-60.6238;-41.1757;25.1423;10;2.1;0.902056;40
10.2324;-9.21574;5.82236;10;2.1;51.3752;40
-96.4216;-55.5805;83.6873;11;2.1;83.6873;40
-78.5406;-37.6996;101.568;11;2.1;101.568;40
86.6689;45.8279;77.4079;11;2.1;77.4079;40
75.6487;56.2006;71.2387;10;2.1;71.2387;40
-67.1736;-26.3326;112.935;11;2.1;112.935;40
-79.9384;-39.0974;100.17;11;2.1;100.17;40
-24.9764;-15.7154;15.8647;9;2.1;15.8647;40
-15.5511;-6.29013;25.2899;9;2.1;25.2899;40
81.322;40.481;72.061;11;2.1;72.061;40
-56.253;-36.8049;29.5131;10;2.1;29.5131;40
-39.2248;-19.7767;46.5413;10;2.1;46.5413;40
33.805;-51.9611;14.3569;12;2.1;14.3569;40
-89.2481;-48.4071;90.8607;11;2.1;90.8607;40
-96.1928;-55.3518;83.9161;11;2.1;83.9161;40
-17.5705;-8.30947;23.2705;9;2.1;23.2705;40
-30.4069;10.4341;149.702;11;2.1;149.702;40
90.3732;49.5322;81.1122;11;2.1;81.1122;40
20.5686;-20.2724;11.3076;11;2.1;11.3076;40
-52.5652;-33.1171;33.2009;10;2.1;33.2009;40
82.9005;42.0595;73.6395;11;2.1;73.6395;40
-85.3352;-44.4942;94.7736;11;2.1;94.7736;40
50.187;54.597;69.6351;8;2.1;69.6351;40
24.3629;-16.4781;15.1019;11;2.1;15.1019;40
37.9425;-47.8236;18.4944;12;2.1;18.4944;40
63.3574;61.2574;63.3574;7;2.1;63.3574;40
-5.78786;-3.68786;3.47314;7;2.1;-0.261196;40
87.2191;46.3781;77.9581;11;2.1;77.9581;40
-0.967958;-0.967958;1.13204;5;2.1;-5.53411;40
60.9683;61.9683;65.3783;6;2.1;65.3783;40
46.8904;56.1514;87.7314;9;2.1;87.7314;40
46.9535;56.2145;87.7945;9;2.1;87.7945;40
23.8165;-17.0245;14.5555;11;2.1;14.5555;40
-95.9859;-55.1449;84.123;11;2.1;84.123;40
-7.3773;-2.9673;12.0708;8;2.1;0.00208887;2.95778e-05



